,9566,This would enable live traffic aware apps.,0
44,10389,It would be great to be able to have the emulator location data use the NMEA file format - either via file import/export or using the files directly as a feed.,0.8102818
45,10408,currently you can only pin an album but it would be useful if you can pin a single image as a tile.. that way you have easy access to a it.,0.57872456
46,10459,why shouldn't I as user be able to see reviews made by people from other countries?,0.13653407
47,10469,For apps that synchronize or connect to networks sporadically it would be handy to have an easy way to detect if you are on a cheap connection so if WiFi is connected or the device is connected to the web via USB.,0.048220824
48,10474,So suggestion is to add properties like “IsWiFiConnected” and “IsCableConnected” to DeviceNetworkInformation that execute fast.,0.19028209
49,10492,Give developers good explanation what they do wrong and enforce good design.,0.054702315
50,10494,Apps should take no longer than 2-3 seconds to start and need to explain why they would take longer.,0.0422032
51,10540,Please provide APIs for call forwarding and other call management functions(hold/unholdswapconferenceetc),0.7604526
52,10541,As a user I would like to be able to select songs that I have put on the device (from my library) to wake up to.,0.043897994
53,10573,Thus this idea is actually for the developers to make scrolling faster after each subsequent scroll like every 5 scrolls the scrolling speed will increase..,0.037655175
54,10583,in addition the user should be able to take a scree shot within the multitasking area by using a finger gesture to drag the app towarda the bottom of the screen a screen capture icon should appear and the outer edges of the icon should fill with green and onve the edges are completly green a photograph noise will occur allow with a sudden screen flare to tell the user the screen shot has been taken and saved in the saved images folder,0.03743702
55,10600,We need the ability for developers to add relevant tags to their app descriptions we then need the ability to search for apps with those tags tags should also be verified during app submission to ensure theyre relevant,0.34721997
56,10633,It will be pleasant to go the main page of the app in the marketplace to see the general présentation screenshots & the other users reviews,0.06406046
57,10636,Allow user to send Video Audio and more pictures in an MMS now only one pic is supported,0.348459
58,10649,Allow access to raw data such as signal strength imformation to allow creation of indoor location positioning using available wifi bluetooth or cellular networks when no gps data is available.,0.039985538
59,10655,Since windows phones are selling hot in countries like India browser should start displaying Indian language characters.,0.14361772
60,10677,And a smart dialer can then be a full alternative to the built-in phone app since the app also can have a quick-button for goto the regular phone app whenever the user wants to do that.,0.5884438
61,10678,As an alternative to giving write-access to calendar (which can be hard to get a go on for security reasons) let us at least open an appointment directly in the calendar app.,0.73807585
62,2861,Signal strength directly impacts video playback experience.,0.059176963
63,2864,But reusing the operating system component saves us development effort and ensures it looks as expected as the operating system evolves.,0.039103348
64,2874,You can ask for a request but it's not clear what and when something will happen.,0.064183675
65,2894,With windows u have the UI app and the service app hosted locally  may be the IIS express used during local debug can be used.,0.7118723
66,2897,This new approach of developing applicaitons simlifies the UI development  where developer get rid of learning other technologies like java scriptangularjquerystyle sheets and all those n number of scripts.,0.043544907
67,2903,Typical problem here would be deployment(Installationupdate) of the UI application to client machine But if we simplify this process of deployment like having the rules that the UI app should be only one obfuscated executable file It should not depend on reference… more,0.67491555
68,2909,Bonus points for it to be xaml standard compliant,0.3204635
69,2913,In addition this will allow a greater prominence of XAML Standard and greater acceptance in the market and in the media.,0.04476787
70,2927,Don't require developers to use the background task builder and background triggers just to activate an app in the background.,0.8155543
71,2930,A control that offers hour minute & second selection would be helpful.,0.20871283
72,2931,Add to CollectionViewSource function pointer to get the group objects not just PropertyPath,0.058711633
73,2935,A DatePickerFlyout whose Date is two-way bound will update target-to-source but not source-to-target.,0.037000936
74,2940,When functions and FallbackValue is used in an x:bind at same time the parameter must match exactly.,0.14942753
75,2955,Playback seamlessly between one media and another,0.11383584
76,2977,A control for visualizing and editing networks graphs and flow-charts,0.047402892
77,2996,Leave them alone!),0.07178836
78,3000,Does not make sense that an Idle task would be suspended for not being busy enough.,0.061553895
79,3001,Making the task more busy (to work around idle tasks being suspended) would mean more battery usage kind of the opposite of what you want.,0.056180343
80,3011,Microsoft wants us to build more connected app with Project Rome API.,0.052856617
81,3019,In 15063 we can extend brush (by XamlCompositionBrushBase).,0.15337232
82,3029,It also annoys during development because now my solution has to have 4 target platforms while it could just have one.,0.03803576
83,3034,What I want is to drag and drop a file then be able to get its full path and file name as stored on the disk and access it using standard C++ IO file access functions such as fopen fread etc.,0.14396748
84,3035,I don't want to use XAML because: it looks complicated it looks like it can reduce performance I'm making 3D heavy DirectX based applications that need full performance.,0.68684155
85,3045,For example I drag and drop a BMP image my app compresses it and saves as PNG image automatically in the same folder with the same name.,0.03844617
86,3057,Dual screen + Google Card Glass fulfill the function and make the application very attractive.,0.105343446
87,3064,We wanna to commuicate other App in Desktop.,0.1462475
88,3065,not only other UWP but WPF application.,0.7043918
89,3073,I've done the same tests in UWP mode using DXGI_SWAP_EFFECT_FLIP_DISCARD and results were the same slow as in Win32/WinAPI.,0.29060292
90,3082,From what I see ASTC would be great for that have good quality but also small size looks like it has lot of format options so I could choose what I want.,0.6118573
91,3102,I'm pretty sure the new TreeView is not Fall Creators Update dependent.,0.05066401
92,3115,Map became unusable after phone 10.0.15063 update.,0.07207944
93,3118,ResolveCompleted event comes after ten seconds.,0.076681525
94,3123,d) Lines on traffic layer are blurred jagged and looking bad.,0.048935615
95,3127,While nice looking UWP UI is not well suited for creating UI-heavy classic applications (think VisualStudio/AutoCAD/Blender/LOBs with a lot of data) that you would never want to use on tablet/phone.,0.23935911
96,3135,If our - ISV - UWP App also have this feature we can spent more time to trying the new feature and Insider customer and testers can use it and we could got feedbacks.,0.6524466
97,3153,Because if you currently assign a Binding a VisualState setter as below it will resolve the value of the binding and assign that to the target while you would like to assign the binding itself.,0.17328367
98,3154,This will allow designs and implementations to change bindings depending on states and even help some states where some bindings are not required to be temporarily set to x:Null for performance (handy in complex screens).,0.7976706
99,3167,We can see the entries added in the registry but client cannot access the interfaces.,0.0833879
100,3176,For example lets say I want to create shorthand for aligning a control inside RelativePanel fully horizontal like AlignHorizontalWithPanel.,0.041022215
101,3183,Allows desktop apps to incrementally adopt UI innovations and creates a bridge to UWP for app UI.,0.076946035
102,3184,I tried the converted app using IME.,0.04764627
103,3188,We want to improve support Google IME.,0.086091824
104,3194,I thinks it's not difficult to do since Cortana for PC supports up to 13 languages as listed on https://support.microsoft.com/en-us/instantanswers/557b5e0e-0eb0-44db-87d6-5e5db6f9c5b0/cortana-s-regions-and-languages,0.036191918
105,3240,You can verify this with the CameraStreamCorrelation sample.,0.04550502
106,3243,The following streams are available on the PC:,0.06616086
107,3248,The following streams are available on the XBOX:,0.06634331
108,3253,Are there any plans to support skeleton tracking on the XBOX?,0.07418514
109,3256,It seems such a shame that the new Kinect drivers expose the Kinect via this API and yet the ExposureControl is marked as being not supported for the Kinect.,0.038059134
110,3257,From the libfreenect2 library it seems entirely possible to tell the Kinect not to do auto-exposure.,0.24794409
111,3261,I expect that the content set directly (the text) to persist after closing the application.,0.060051594
112,3264,To me something that may cause a runtime crash (and that the compiler clearly knows to flag) should not a warning but an error.,0.14329143
113,3270,xbox dev mode companion work ipv6 please...,0.12464792
114,3271,"Make it really smooth to update code of a UWP app,  like you are already doing with the XAML part the app is automatically reloaded without being shut down and relaunched.",0.116745725
115,3284,A XAML designer for Visual Studio in Windows 7.,0.42258474
116,3304,The control would allow for the use of the contact picker but allows for manual entry and deletion of contacts.,0.3881041
117,3309,To give the user a sense of consistency the file picker remembers the last location that the user navigated to and will generally start at that location.,0.036733333
118,3311,This is not always the best solution for example pretend you had a UWP app that asked the user to select a picture and a music file.,0.0401658
119,3336,I am migrating my app from Windows Desktop using Core Audio API to UWP using hopefully AudioGraph.,0.06187989
120,3348,We are exploring moving forward with UWP but currently there is no way to access the pipeline to add custom shaders and models like we do now in Virtual Earth with Microsoft.MapPoint.Graphics3D.GraphicsEngine3D and Microsoft.MapPoint.Rendering3D.Scene.Step.,0.20143539
121,3357,I'm developing a Java application so interop with C# is kinda tricky while interop Shell32 API or C libraries is pretty easy and straightforward with JNA.,0.1693603
122,3386,It is very difficult to Create a Custom RichEditBox with all the basic features Like Text Formatting Bullets and numbering Support for Inking Like OneNote and also to support adaptive layout that's too much work for basic Text editing.,0.4931948
123,3390,I'm creating app using face detection.,0.07419275
124,3394,If we put the MKV in another service or server the video is reproduced but the connection with OneDrive has been lost.,0.0884848
125,3417,It stops on the way.,0.07022843
126,3430,Chinese and Italian support have already been asked for.,0.100141495
127,3434,In some cases an access error may occur at the time of opening a file or it may be opened correctly.,0.7817361
128,3435,We want a solution.,0.080893375
129,3527,Something seems to have changed with loggingchannel possibly default manifest code that handles the string message has changed around 15043?,0.057590947
130,3528,FWIW preview versions of windows post anniversary update were showing the message correctly.,0.54159963
131,3530,I'd like to have implicit DataTemplates in UWP.,0.26698285
132,3535,Currently i can only input plain text in toast notification <input> since the type does not support password.,0.10714919
133,3574,Developers need to have good and deep understanding of how UI virtualization works on UWP app,0.042014334
134,3600,Currently you can use the Pivot or there are 3rd-party vendors providing a TabControl.,0.80758464
135,3686,I'm converting some wpf apps to uwp and I'm missing a report control.,0.6364632
136,3697,Please open up the base classes for inheritance and provide a sample how to create a custom virtualizing panel.,0.22101933
137,3706,Without this UWP is more or less a toy because any customization requires that the app be deployed completely separately.,0.43726462
138,3718,This is only relevant for desktop UWP apps.,0.30133402
139,3722,You can at least provide any of these solutions.,0.65437496
140,3748,I'd use this for my media phone playing Groove 24/7.,0.42919323
141,3766,The panorama control is still the best control for my app and my users love it.,0.036627766
142,3767,Updating the app to UWP is not possible without this control.,0.056187954
143,3785,Currently there is no way to prevent MenuFlyout from closing when user click any of its items.,0.16299649
144,3786,I'm not even sure if it is not a bug because setting args.Cancel in Closing event is not working.,0.06542355
145,3791,Support I/O transactions on UWP platform as part of Windows Runtime API for file I/O,0.054668237
146,3796,For example three quick touch strokes to scroll immediately to the top or bottom.,0.05108045
147,3797,Really long lists and views are boring to scroll even at maximum scroll speed.,0.6269796
148,3798,Keyboard have Home/End keys to scroll to top/bottom but touch screen doesn't have same capability.,0.05360056
149,3816,But this library is fairly low-level.,0.043950506
150,3841,That concept is painfully evident when using Microsoft's Edge browser and you want to browse various Favorites menus.,0.04034808
151,3844,Specifically excellent mouse support means that menus will support all the hover actions that menus currently enjoy in win32 applications.,0.03921326
152,3846,The current situation requires two mouse clicks to accomplish the same thing as a simple hover should.,0.049756624
153,3857,I don’t know what the component should look like.,0.0736246
154,3861,It can happen that sometimes we do need a control to store a list of pages/elements that looks like a Pivot control but with a infinite list of pages/elements.,0.68370706
155,3873,So I tried to find other ways such as Excel Access or SQL Server Compact Edition.,0.10446261
156,3891,So application would request secret API keys as needed from system-provided secure storage.,0.5971893
157,3893,Release appx shouldn't have secret keys inside and keys should be on Windows Store server and those keys would be requested from server on application install.,0.7174037
158,3918,Another advantage is the developer already have a preview in design mode,0.05288354
159,3929,The idea would be to have a Try button on every sample.,0.20497547
160,3930,This button will generate a ready to use Visual Studio project with the current sample.,0.18975754
161,3931,It seems that animated GIFs disappear when application minimizes / restores.,0.06628717
162,3956,* Allow the user to select items drag them around and resize them.,0.04089654
163,3964,We currently have a store app that works with our desktop app and it causes a great deal of confusion.,0.07012613
164,3971,if you need anything from me for any reason I will do what ever I need to do to improve our software for our users.,0.03621739
165,3979,As developer I want to create custom picker like Date or Time pickers,0.10211937
166,3991,you can't scroll at that point.,0.13282752
167,4014, In an XAML page there are some buttons and command bar buttons both of which have access keys set.,0.816502
168,4046,I am working on porting an app that could calculate MD5 checksums on a file.,0.10057633
169,4081,Being an enterprise developer the advent of Big Data I believe the SeaDragon PivotViewer lastest binaries should be ported over to WPF/UWP apps as it is a well needed tool.,0.049122524
170,4085,Since we are preparing a custom control with the ScrollViewer the look and feel is not nice.,0.07783926
171,4089,Microsoft is loosing a huge market by not supporting a full net standard.,0.04826076
172,4097,Evidently the MediaComposition.SaveAsync() API internally uses the StorageApplicationPermissions.FutureAccessLists API which has a limitation of 1000 items.,0.05144276
173,4098,If you add more than 1000 clips created via MediaClip.CreateFromImageFileAsync() the API will fail with this exception:,0.04003594
174,4100,An item must be removed before another item is added.,0.32426763
175,4101,Additional information: The maximum number of items for the access list has been reached.,0.1256862
176,4110,In case app is installed in SD card and notification uses custom audio file default notification sound is played instead of custom audio file.,0.19511476
177,4117,In the end developers have to use some workarounds to simulate old behavior.,0.75120133
178,4118,You can see that even Apps list in W10M simulates old behavior instead of default one.,0.6474548
179,4133,When using FM radio i have my headphones plugged in.,0.03975725
180,4140,This would make replying to messages etc.,0.059330128
181,4169,I know it's not possible at the moment specially with all the hardware limitations but if you guys really are working on a surface phone bringing visual studio to it will be so huge.,0.44653717
182,4177,The problem is the output port names are enumerated by the UWP API as just MIDI and not the name of the port as defined when they were setup.,0.05116981
183,4178,Reaper and other desktop programs are displaying the proper name.,0.0754226
184,4192,Including <windows.h> shouldn't generate compile warnings even the extra ones.,0.24206284
185,4222,That would make all the users happy :),0.08475932
186,4224,Hololens let's you render on 2 backbuffers(stereoscopic) but it's hard to know if the output is correct because the emulator shows just one frame.,0.036863726
187,4228,there is a bug in UWP where special characters are interpreted as letters when using multi layered keyboard layout like the german Neo2 layout.,0.21400401
188,4232,It's also a total annoyance when working with data that require handling of lots of special charecters like JSON and XML data.,0.057026826
189,4249,Looking forward to the progress you're doing :D,0.106158204
190,4250,With Project Rome I can discover devices of others connect with them and launch apps or leverage app services once consent has been established.,0.10043262
191,4256,This feature is implemented in the accessory API which is restricted to only smart watch makers.,0.07155856
192,4261,This would allow them to know that additional awesome features are there.,0.07050311
193,4265,The Windows display language of my computer is set to en-US because I am an app developer and most app problems and solutions are written in English.,0.03729193
194,4271,Such functionality is common to music apps in Google Play Store Apple Store BlackBerry World.,0.5865737
195,4272,In most cases such apps can be ported to UWP platform and because they are coming from a POSIX/Linux the network API is 'BSD sockets' as well as some complex network communication libraries can be used to support this or that network-oriented functionality.,0.6506702
196,4273,Currently the network data flow is boroken once app goes into background or screen is switched off.,0.09795445
197,4287,Can in-app purchases made available to Windows Store for Business?,0.5704514
198,4293,These channels are not accessible with the current AudioGraph API's.,0.14919877
199,4317,It has support for Linux and I think Windows should gain support too.,0.050925836
200,4329,And the dac folder is empty.,0.056190405
201,4353,Hello Dev Team!,0.09088694
202,4366,In the app Settings you can disabled the swipe-open or make the swipe-in detection area wider if the user's phone makes getting close to the screen edge difficult.,0.037316147
203,4382,So there should be a way to either swap out style XAML RsourceDictionary files and/or pieces of… more,0.5544304
204,4388,Any feedback is appreciated Thanks John.,0.083243735
205,4402,XAML apps can detect it but there is no equivalent WinRT API for JS apps.,0.051473368
206,4404,My HTML perfectly fine in Windows 10 but not in Windows 10 Mobile.,0.04103658
207,4428,As an information this is the xaml control that contain the complex attribute/property :,0.05771619
208,4442,In my opinion this feature is really fundamental much more important to me than many new features that appears regularly.,0.040565934
209,4456,According to the documentation the proper way to handle input in a store app is to create a CoreIndependentInputSource from another thread by calling swapChainPanel.CreateCoreIndependentInputSource().,0.05416673
210,4464,Devices with touch input are the ones that suffer the most from this bug since they come with weak GPUs.,0.0481027
211,4465,Devs have to chose either low responsiveness or low performance.,0.06206932
212,4484,The application will exit..,0.094268985
213,4501,Having an API allowing getting the color of the pixels under a pointer (eventually throttled/async and only when having pointer capture on) would increase the expressiveness of the creation tools in UWP applications.,0.7648891
214,4522,I am manually having to keep a list of these when it would be easily managed in the Dashboard if the status properly reflected this.,0.81552684
215,4526,The current status only seems to show ‘In Progress’ if the app has never been put in the store before.,0.5957765
216,4537,Meanwhile the perf counters are difficult to associate with a specific application requiring the request queue be named (which HttpListener does not do) and netsh called to find URL group IDs to use for correlation.,0.2595222
217,4545,I did a research on AudioFrameOutputNode It is strange that it often generate AudioFrame without any audio data the AudioFrame's Duration property is 0 miliseconds but the RelativeTime property is not.,0.041106533
218,4553,For example a user send us a feedback to ask a Windows 8.1 RT version of our app but now we are focused on Windows 10 so we need to be clear that we read his feedback but it's not on our roadmap.,0.0377586
219,4555,After that the Age Rating questionnaires stop submitting when you press submit.,0.06265766
220,4572,An example of this An application as a node in an internal media network would be something along the lines of AudioBus for iOS.,0.4281058
221,4575,Extrapolate the above capabilities to Audio allowing on-the-fly add/remove interconnectable/reroutable audio nodes (virtual interface devices) to which Apps/Devices would attach to instead of attaching only to hardware interfaces.,0.80346483
222,4578,Same for video not only making (desktop/window) screen capture a breeze and naturally handle by the OS it would also allow the creation of virtual screens (resource permitting of course for desktop expansion/mirroring) outputting them to a video input/recording apps USB3 or even to a DLNA receiver screens.,0.04135092
223,4582,This would allow the user through the OS to detach an App media output from its default interface (audio/midi card screen/window) and re-attach it to another App (or device) input.,0.29431528
224,4587,What if we will exchange apps reviews?,0.064646915
225,4590,I like the ease of the app and recommend this app to all.,0.060742274
226,4593,I have largely ignored this is the past because it was minimal but someone is finding good success with it so they're hammering everyone.,0.038420722
227,4594,Personally I'm getting 2-3 a day from different source email addresses.,0.119918786
228,4595,Removing the support email from the webpage would not hinder the user as they can see it via the Windows Store app.,0.69218165
229,4605,1) A user is at lunch viewing their sensitive documents.,0.09502492
230,4606,They switch to their Email app - our application detects active state change and auto logs out.,0.15341075
231,4607,They finish their food and leave but forget their phone on the table.,0.13327606
232,4608,*At this point a perpetrator is able to take the phone open the recent apps section and now can see whatever our client was looking at.,0.048238806
233,4609,2) User is at their desktop observing files gets up and makes the app inactive (minimizes or moves to back).,0.06421543
234,4610,We begin a timer to auto log out.,0.086652786
235,4611,* A perpetrator is able to hover over the taskbar item and see the last screen drawn whether or not the user logged out.,0.040620204
236,4620,Sorry if I sound bitter but I must say it's very frustrating developing for w10 mobile at the moment even if the you get good reviews the chance of them being displayed in the store is very slim due to the version fragmentation.,0.040077247
237,4621,As I understand it insider reviews that aren't on the slow ring are removed even worse they're deleted permanently from even the Developer Dashboard.,0.754781
238,4622,People took time to write thoughtful reviews and they're simply deleted.,0.06098745
239,4623,I've started to continually download review reports to just have a record of them,0.14130512
240,4624,I've had over fifty 4+ star reviews simply disappear never to be seen again.,0.38317648
241,4625,I see the point that insiders shouldn't bring down the ratings of the app if the OS is to blame.... but with so few people rating anyway and most people being on the fast insider ring it makes it extremely hard to get reviews.,0.038635217
242,4626,Old Windows Phone 8.1 retain their status of being the most highly rated just because of this.,0.051681437
243,4627,What's the point of having a rule if that means there's too few reviews and no point for most people to post reviews at all?,0.792243
244,4628,I'm not quite sure what a good solution is you cold allow only 3+ reviews for fast insiders but I guess that might skew reviews too positively.,0.13091065
245,4629,Or why not let the text review stand even if the rating doesn't count?,0.18946297
246,4631,As it is getting an accurately impressions of apps through reviews doesn't seem feasible.,0.07802834
247,4651,The caller does not have the required permission to perform this operation.,0.042364378
248,4668,IoT introduced the Windows.System.ProcessLauncher for starting arbitrary programs (like Process.Start in .NET).,0.11264306
249,4674,Note when executed DNS Client service crashes,0.100316375
250,4676,Comment out the TextAttributes line and note service does not crash,0.051207617
251,4679,I have bound the IsPaneOpen of my SplitView to a property in my ViewModel.,0.038004354
252,4680,This works nicely except when the SplitView is in Overlay mode and the user presses a hardware back button on the phone.,0.042077627
253,4681,In this case the SplitViewPane gets closed as expected but it does that by seemingly overwriting the Binding on IsPaneOpen and instead setting it directly to the value false.,0.038590547
254,4682,The effect is that the panel can never be opened again as my code will do this by setting the VM property to true but the binding was already lost.,0.037270606
255,4685,In practical terms you are forced to make a UI technology diversion to implement new functionality.,0.055797853
256,4686,Xaml doesn't look a tempting option because not useful for mobile or web and needed controls usually implemented in javascript first,0.6372976
257,4687,At a application architectural level porting WinForms to HTML/JS favours an entirely new application which follows an understood/accepted architectural pattern then re-implement old functionality.,0.60628617
258,4689,So imagine the app in question was one written by an ex-employee in 2008 in VB.Net with deep domain-knowledge targeting users with similar domain knowledge for a specialist task with no design documentation beyond a description of a manual process it replaced.,0.24293318
259,4690,Well this is the norm... and for all it's wrong's its there.,0.054648153
260,4691,Never had budget assigned in the first place and it's used by 10 people who are all busy.,0.04102488
261,4693,Given the architectural barrier is the killler I don't believe there is any feature of GDI+ which cannot be expressed in HTML.,0.05365295
262,4694,the UI may not adhere to good gui design principals it's performance may suck but it probably won't.,0.07906283
263,4695,But it's users can start it and it will look and act the same as it did before arcane controls and all.,0.037401527
264,4696,The architecture of a Modern HTML5 appliication has much more in common with GDI+ and a windows message loop than it does with Xaml.,0.41966382
265,4697,Things like Redux essentially go out of their way to be like a message loop to avoid race conditions through async operations.,0.1812395
266,4698,For Microsoft this would I believe solve a massive developer stumbling block even allowing Winforms controls to potentially be integrated in HTML UI's.,0.06589138
267,4705,So imagine the app in question was one written by an… more,0.2605895
268,4706,Microsoft finally developed a library able to handle NFC devices.,0.044696648
269,4707,Unfortunately the library is only able to get the NDEF messages and doesn't give the UID of the card!,0.06615875
270,4708,Is there a reason why this UID is not saved in the Proximity-Device once the NFC card is read?,0.03601619
271,4711,But it has no similar property on UWP's api.,0.08153288
272,4713,You reproduce this on Mobile Build 14393 system.,0.04843198
273,4714,Currently there is no way to attach debugger to already running process via 'Attach to process' on mobile.,0.051213443
274,4715,And sometimes bad bugs like deadlocks happens.,0.1623954
275,4716,And its real pain to investigate them since usually they happen without debugger and on release builds.,0.108314365
276,4717,Windows 10 Mobile is like back box you can't get full access to.,0.10990456
277,4722,Frankly speaking I'm surprised that it was not there from the very beginning.,0.05445868
278,4743,All that happens without any real user attendance which makes those triggers useless.,0.0435921
279,4744,In WM5/6 there was an UNATTENDED power state for that situation and there was a way to detect real user interaction with the device.,0.03691659
280,4746,Current behavior of SystemTrigger.UserAway and UserPresent is unexpected.,0.05744298
281,4748,Phone is sleeping with screen turned off,0.07014754
282,4750,Some event occurs (SMS Incoming Call Toast),0.18369144
283,4754,UserNotificationChangedTrigger fired,0.093902186
284,4756,UserPresent trigger fired,0.08470618
285,4758,After some short timeout screen goes off,0.2442347
286,4764,This is my personal favourite: mobile - file open picker - the app suspends but it cannot be debugged.,0.039084688
287,4765,All sorts of surprises can happen with a complex app.,0.14029872
288,4766,Before UWP CurrentCulture reflected the Regional Settings format and CurrentUICulture reflected the Display Language.,0.3209928
289,4769,We shouln't have to relly on workaround like this one: https://www.pedrolamas.com/2015/11/02/cultureinfo-changes-in-uwp/,0.119996734
290,4772,It would be a lot like Facebook Messenger's chat heads.,0.7002086
291,4775,So many things could be done with it.,0.31017825
292,4776,I found that PhoneTriggerType enum includes useful triggers except the trigger when a call is received.,0.0567771
293,4786,Torch API doesn't work in Lumia with windows phone 8.1 support such as Lumia 830640...,0.06027521
294,4788,Currently UWP have less readable grayscale font smoothing.,0.22261955
295,4789,It makes UWP apps look worse than desktop apps on standard DPI screens.,0.054392487
296,4791,Sometimes Compass.GetDefault() returns null and compass stop working in all apps.,0.08928747
297,4792,To solve I need to restart the phone.,0.04492084
298,4794,In the following MSDN Magazine Article it is mentioned that there are some limits for Voice Command Deffiniton files.,0.6701428
299,4799,I use Windows SAPI quite intensively for an application I have built and many Grammars are easily much bigger than the limits imposed by Cortana.,0.39609125
300,4800,This makes it a bit tricky to port the recognition engine part of the application away from SAPI and towards Cortana since SAPI provides more powerful capabilities for larger sets of commands.,0.040569253
301,4810,Unfortunately I am not going to know all uri's the cookies are in without tracking every single domain visited (which is what I currently have to do).,0.055094834
302,4811,I do this so I can clear all Cookies.,0.05974018
303,4812,An API that would take 5 minutes for someone to write up and save me a lot of coding is,0.5364303
304,4814,Or secondary to that a DeleteAllCookies() or ClearCookies() API as that is the only reason I need to get all of them and I can't think of any other use cases to retrieve all cookies.,0.2744355
305,4815,Happy to go either way.,0.06468112
306,4825,User interaction depends on it.,0.058590695
307,4826,Searched up and down to get this done in Windows 10 no success.,0.045583434
308,4827,Similar has been accomplished in pre.,0.119036235
309,4828,used Win CE where MS granted more access to source code.,0.05922579
